author;date;text;rating;source;brand;sentiment
чумаков сергей;16.04.2025;Работаю водителем, пользуюсь топливной картой от «Кардекс» — в целом очень доволен. Главное, что заправок много по всей стране, проблем с маршрутами нет. Топливо выходит дешевле, чем за наличку на АЗС, а баланс пополняется быстро. Удобно, что на карте есть номер горячей линии — уже пару раз выручали,… ещё;5;yandex;Кардекс;pos
Л;14.05.2025;"Кардекс"" — одна из немногих компаний, где все действительно автоматизировано. Отчеты, баланс, акты — все доступно в личном кабинете. Очень удобно, что можно сразу выгружать нужные документы для бухучета. За все время только один раз и была заминка с зачислением средств, но и то - быстро все уладили. Спасибо!";5;yandex;Кардекс;pos
Eldar S.;18.05.2025;"""Кардекс"" нас полностью устраивает. Сеть большая, удобно, что можно подобрать АЗС с лучшими условиями. Поддержка всегда на связи — спасибо Владимиру Дугарову за помощь с экстренным пополнением баланса. Карты доставили курьером, пин-коды выдали после подписания актов. Все четко.";5;yandex;Кардекс;pos
Максим Шостак;27.01.2025;Удобно, что у КАРДЕКС есть мойка для корпоративных клиентов. Загоняю свои машины, и ребята моют на совесть. Качество на высоте, и по деньгам выгодно. И всё оплачивается с единого счета топливных карт.;5;yandex;Кардекс;pos
Курбан Загиров;28.01.2025;Кардекс выручили, когда понадобились топливные карты для моего автопарка. Оформили все быстро, без лишней бумажной волокиты, в договоре прописали достойную скидку. Теперь заправляюсь без проблем;5;yandex;Кардекс;pos
М;09.06.2025;"Заправляюсь по карте ""Кардекс"" уже пару месяцев. Удобно, что не надо возиться с деньгами. Просто вставил карту, ввел пин — и поехал. Дизайн карты, кстати, прикольный — вертикальный, отличается от других. Один раз забыл ПИН-код, но позвонил по номеру с карты — помогли восстановить. Очень доволен.";5;yandex;Кардекс;pos
Татьяна Толкова;17.01.2025;Сотрудничаем с Кардекс уже 1,5 года, условия не изменяются. Топливные карты Кардекс принимают на всех АЗС, куда я езжу. Это удобно, особенно в поездках. К тому же, на некоторых заправках можно помыть машину!;5;yandex;Кардекс;pos
Сергей;27.09.2024;"Когда она у вас в кармане и там есть какой-то лимит-вы счастливчик. Очень приятно, если работодатель немного поддерживает вас, выдавая эту карту. Правда, не на всех заправках можно заправиться ""бесплатно"" с ней, а только на тех, которые указаны в договоре вашего работодателя. Подъезжаешь к заправке, идешь оплачиваешь авансом этой картой необходимый тебе литраж. И заправляешься.";5;yandex;Кардекс;neu
Максим;29.01.2025;Раньше думал , что топливные карты жто сложно и непонятно . А у Кардекс все просто и доступно . Оформили быстро, все рассказали,все объяснили. Теперь заправляюсь без проблем.;5;yandex;Кардекс;pos
Петя1 А.;19.01.2025;Благодаря картам Кардекс я могу без проблем заправляться в разных городах. Это очень удобно в длительных поездках.;5;yandex;Кардекс;pos
Матвей Соколов;13.12.2024;Пользуюсь топливными картами от Кардекс уже несколько месяцев. Условия, прописанные в Договоре, простые и удобные, а экономия на топливе заметная. Еще есть мойка для автопарка, она тоже порадовала качеством обслуживания. Рекомендую всем, кто ищет надежного поставщика заправочных карт!;5;yandex;Кардекс;pos
Александр Яковлев;01.02.2025;Удобно, что все заправки по КАРДЕКС видны в личном кабинете. Контролирую расходы на топливо, все понятно и прозрачно. Никаких лишних бумажек.;5;yandex;Кардекс;pos
Машенька;24.10.2024;Заказывали карты как юридическое лицо, предложение было самое выгодное.Далее работа с менеджером от начала до конца нас вела Гульден Мамонова.девушка очень отзывчивая, разъяснила всё что можно.Отвечает моментально.Всем советую👍;5;yandex;Кардекс;pos
ISV;12.12.2024;Список АЗС на сайте в Excel или карта АЗС тоже на сайте- не слишком удобный инструмент. Вернее совсем не удобный. Сделайте моб.версию с определением местоположения и отображения АЗС на карте.;4;yandex;Кардекс;neg
Дмитрий Терехов;17.12.2024;Использую топливные карты Кардекс для своего небольшого бизнеса. Условия очень выгодные, а обслуживание на достойном уровне.;5;yandex;Кардекс;pos
Евгений Красильников;14.12.2024;Мы работаем с Кардекс уже год, все прописанные пункты договора исполняются. Кардекс стал для нас надежным поставщиком топлива и других услуг. Рекомендуем их!;5;yandex;Кардекс;pos
Петр Тимофеев;14.11.2024;Вместе с этой фирмой уже два года, все ок. Пользуюсь их картами как ИП. Очень доволен возможностью экономить на топливе и получать скидки на другие услуги.;5;yandex;Кардекс;pos
Федор Ап;22.11.2023;Нормальные мультибрэндовые карты правдо есть один минус лукоил отдельной картой, поэтому приходится возить две карты. Ездить приходится много в основном Москва и область но бывают и мед город.;5;yandex;Кардекс;neu
Трофим Калачев;07.07.2023;Заказали топливную карту от компании Кардекс в феврале этого года. Очень устроили нас их условия, бонусы и то, что большое количество АЗС с ними сотрудничает, причем хороших АЗС с качественным топливом, после которого машины отлично себя чувствуют. Приложение удобное, легко управлять, видеть… ещё;5;yandex;Кардекс;pos
Максим;24.08.2024;В целом хорошая компания , есть недочеты , если и дальше продолжать работать с клиентами и слышать их пожелания , станет просто отличной компанией.;5;yandex;Кардекс;neu
Даниил Воронов;28.11.2024;Все устраивает более чем. Кардекс - наш надежный партнер. За это время они ни разу не подвели ни нас, ни наших клиентов.;5;yandex;Кардекс;pos
Максим Костин;04.07.2023;Я владелец не большой фирмы по перевозке и доставке грузов по Московской области. У моих водителей раньше было куча скидочных карт на разных заправках, многие жаловались, что не удобно, пока найдешь нужную, кучу людей в очереди за собой соберешь, а потом мыузнали, что есть универсальная топливная карта для… ещё;5;yandex;Кардекс;neu
марина;30.10.2023;Лидер в области топливных карт. Они предлагают широкий выбор карт различных категорий, что позволяет нам подобрать оптимальное решение для нашего бизнеса;5;yandex;Кардекс;pos
Максим Егоров;02.11.2023;Пользуемся в организации этой ТК. Напрягает то, что у них количество азс не покрывают все города. Приехал в г. Сибай на сайте есть информация что обслуживаемая картой азс есть. Приехал на адрес (БАШНЕФТЬ) бамбалейло, заправляйся на свои. Написал в поддержу, там что не внятно сказали, якобы сайт медленно обновляется. Они тут не причём. А вот мой отзыв причём);3;yandex;Кардекс;neg
Татьяна Т.;16.11.2022;Выгодные условия. АЗС много по всей стране, и стоит отметить, что есть удобная карта, где можно посмотреть все доступные. Личный кабинет и правда удобный, можно быстро посмотреть баланс и на сколько ещё хватит, все операции проконтролировать. Поддержка грамотно ответит на возникшие вопросы.;5;yandex;Кардекс;pos
нелличка;10.07.2023;Давно пользуемся картами от Кардекс. У каждого водителя по 2 штуки:1 Лукойловская, 2 универсальная на все остальные заправки. Выгодно,удобно,легко.;5;yandex;Кардекс;pos
Андрей Поздняков;02.11.2023;Карты предоставляют широкий выбор заправочных станций и отличный сервис , мне просто нравится в плане удобства .;5;yandex;Кардекс;pos
Елена Виссарионова;30.01.2024;Сначала меня проконсультировали, потом привезли карты до нужной точки. Раздала их своим сотрудникам. Спокойно заправляются и получают временами скидку.;5;yandex;Кардекс;neu
Хорсянов Николай;05.01.2024;Личный кабинет удобный. Там видна вся отчетность. Карта работает для разных услуг. Ну и приятно, что есть больше 6 тысяч скидочных сетей;5;yandex;Кардекс;neu
София Пермякова;14.04.2023;Довольна топливной картой КАРДЕКС. Всегда выручает, когда я в дороге. Бонусы и скидки есть. Отличный сервис поддержки, который меня консультирует по вопросам личного кабинета и другим. Рекомендую;5;yandex;Кардекс;pos
Илья;01.11.2023;Кардекс - отличная компания, предоставляющая топливные карты для бизнеса. У нас уже несколько карт от Кардекс и мы очень довольны качеством сервиса.;5;yandex;Кардекс;pos
Никита Санников;22.10.2023;У меня была отличная возможность попробовать топливную карту КАРДЕКС на долгой поездке. Я был приятно удивлен, увидев, что она принимается в заправках даже в удаленных местах.;5;yandex;Кардекс;pos
Н;28.01.2024;У меня была карта от Газпромнефть. Неплохая, но я часто езжу на родину в Магадан. А там карта не работает. Из-за этого приобрел Кардекс. У него нет ограничений по регионам.;5;yandex;Кардекс;neu
Андрей К;01.04.2023;Отличное решение для любой фирмы, очень удобно в использовании. Карты принимаются практически на всех АЗС, вся отчетность электронная, очень удобно;5;yandex;Кардекс;pos
Артур Г.;03.01.2024;У меня свое ИП. Специализируюсь на доставке товаров по городам. Карта Кардекс помогает мне экономить. К тому же ее принимают ну наверно на каждой заправке.;5;yandex;Кардекс;neu
Татьяна Татьяна;05.12.2022;Пишу отзыв после нескольких месяцев раьоты с компанией «Кардекс». Полностью довольна их работой. Сама сеть АЗС широкая, что немаловажно. Очень приятный и современный личный кабинет, где отображаются все операции, расходы и т.п. К поддержке тоже претензий нет - делают все, чтобы быстро решить возникающие проблемы, быстро помогают. Все отлично!;5;yandex;Кардекс;pos
Игорь Ковпак;12.05.2023;При заключении договора советую его тщательно изучить. Договор большой и мелким шрифтом. Особенно уделите внимание несгораемым суммам на карте ,которыми вы не можете воспользоваться, а так же стоимости услуг. По телефону этого не говорят. Думаю многим, как и мне , после подробного изучения такие… ещё;1;yandex;Кардекс;neg
И;22.11.2022;В нашей компании используют топливные карты, можно заправляться на самых разных заправках по всей территории России. Сотрудники Кардекс всегда оперативно отвечают на вопросы. Спасибо за качественную работу сотрудников.;5;yandex;Кардекс;pos
Владислав Кочергин;26.10.2023;Когда я получил свою топливную карту КАРДЕКС, я думал, что будет сложно разобраться во всех функциях. Однако, оказалось, что она очень проста в использовании, и я быстро освоился с ней.;5;yandex;Кардекс;pos
Артём Милешкин;29.01.2024;Достоинств много. Надо менеджера попросить, чтоб скинул мне список скидочных заправок. По памяти помню их больше 6 тыщ, но все же уточнить надо.;5;yandex;Кардекс;neu
катя Гананчян;02.04.2023;Очень рекомендуем Кардекс, предлагают отличное решение. Карты принимаются почти везде, на многих заправках дается скидка. Вся документация в электронном виде.;5;yandex;Кардекс;pos
Виктория Некрасова;08.01.2024;Использую только скидочные Азс. Пока список стабильный. Их 6100, может еще прибавятся. Карта работает в Москве, регионах, везде практически;5;yandex;Кардекс;neu
Стасик;28.10.2023;Мой отец недавно начал использовать топливную карту кардекс, и он полностью доволен. Он говорит, что это сэкономило ему много времени и упростило процесс заправки.;5;yandex;Кардекс;neu
Филипп Карпов;29.10.2023;Сотрудничество с Кардексом принесло нашей компании значительные выгоды. У нас есть топливная карта Кардекс и мы экономим на заправке горючим каждый месяц;5;yandex;Кардекс;pos
Артём Самойлов;02.09.2023;Из преимуществ компании я бы выделила скорость и доступность. Оформляют за сутки, прикрепляют личного менеджера. Ну а насчет доступности - 12 тыс заправок это все-таки не маленькая цифра;5;yandex;Кардекс;neu
А;15.09.2022;Приятные условия по топливным картам, очень довольны. Пользуемся полгода. Не было никаких нареканий. Всегда всё в срок. Тех. поддержка работает хорошо, всегда оперативно решают вопросы.;5;yandex;Кардекс;pos
Андрей Киреев;03.11.2023;Компания, которой можно доверять. Их топливные карты помогают нам оптимизировать расходы на топливо и улучшить управление нашим транспортным парком;5;yandex;Кардекс;pos
Амина Махмудова;13.11.2022;Хорошие карты, куча доступных заправок, личный кабинет тоже удобный, бухгалтерию предоставляют всегда вовремя. Персонал приятный и всегда поможет, если что. Рекомендуем данную компанию и их топливные карты;5;yandex;Кардекс;pos
О;02.04.2023;Недавно начали пользоваться топливными картами Кардекс, очень нравится. На многих заправках есть скидки, 20% НДС возвращаются. Все условия договора соблюдаются;5;yandex;Кардекс;pos
Антон Карпов;20.01.2024;Использую топливную карту для Лукойл. С ней выгодно заправляться. Каждый месяц на тысячи заправок стабильные скидки.;5;yandex;Кардекс;neu
Д;25.10.2022;Полностью довольны работой компании Кардекс. Большой плюс-удобный личный кабинет, за всеми расходами можно следить в любое время. Приятно, что могут оперативно предоставить бухгалтерию по любому периоду;5;yandex;Кардекс;pos
XXX _PRIMO;26.06.2023;Заключил договор с Кардекс, все условия чётко прописаны. Карты доставили за 2 дня. Много плюсов для их пользования, круто что возвращается НДС.;5;yandex;Кардекс;pos
P;27.11.2022;Очень удобный сервис. Список АЗС большой, плюс есть онлайн карта с ними. Через личный кабинет легко следить за каждой картой, за балансом. Компания предоставляет действительно качественный услуги.;5;yandex;Кардекс;pos
Борис Б.;29.01.2024;Карта называется топливная, но на самом деле по ней можно расплатиться за мойку, шиномонтаж и замена масла. И это только базовые услуги;5;yandex;Кардекс;neu
Вова Арсененко;08.07.2022;Если рассказывать кратко, на заявку ответили быстро, все рассказали и объяснили. Поразило насколько быстро сделали карту. Хочу отметить удобный личный кабинет. Здесь можно увидеть остаток, поменять тариф при необходимости… В принципе мне все понравилось: удобный сервис, качество обслуживания, личный кабинет. Проблем во время использования не было. Буду и дальше продолжать пользоваться.;5;yandex;Кардекс;pos
Вадим Ромашенков;22.09.2023;Отказался от карты Тебойл в пользу Кардекс. Здесь высокий уровень обслуживания, карта подходит для любой АЗС;5;yandex;Кардекс;pos
А;22.05.2023;С кардекс работаю давно, ощутима значительная экономия. Парк не большой, из 5 машин. Легко управлять картами в личном кабинете, удобный электронный документооборот.;5;yandex;Кардекс;pos
Денис Натаров;06.01.2024;Я так подсчитал в чем вообще выгода этой карты. В месяц я трачу на 20% меньше за бензин, чем раньше. Я думаю это не плохой результат.;5;yandex;Кардекс;neu
Михаил Литвинов;05.06.2022;Регулярно пользуюсь картой Кардекс. Особенно удобно использовать на заправках - даёт скидку на топливо. Да и на многих заправках можно использовать. Так что выгодно.;5;yandex;Кардекс;pos
Родион Хромов;20.10.2023;Нравится тем что ничего не глючит , все можно посмотреть , обслуживание прозрачно и принимается почти на каждой заправки;5;yandex;Кардекс;pos
М;18.10.2022;Быстро все оформили после созвона с менеджером, проконсультировали обо всех услугах. После нескольких месяцев использования карт не нашли никаких минусов. Привлек удобный доступ к бухгалтерии, да и сами условия хорошие.;5;yandex;Кардекс;pos
Савва Казаков;05.11.2023;Я могу контролировать расходы на топливо и получать отчеты по каждой карте, очень удобно .;5;yandex;Кардекс;neu
Г;26.11.2021;Очень нравится обслуживание компании и шарачайшая сеть АЗС по России. Очень удобно рассчитывается этой картой. А ещё круто что с картами Кардекс можно ещё и на автомойку заскочить и по этой карте машину помыть;5;yandex;Кардекс;pos
Оксана Луц;21.10.2022;Выходные условия, удобный личный кабинет, можно заправиться на брендовых АЗС. Каждый месяц приходят бухгалтерские документы, все удобно, так же можно их запросить за любой период. Еще плюс - уведомления.;5;yandex;Кардекс;neu
Анастасия Перевалова;27.10.2023;Надежный поставщик топливных карт. Мы доверяем этой компании и всегда получаем высокий уровень сервиса;5;yandex;Кардекс;pos
Ю;20.09.2022;Для решения любых вопросов у компании «КАРДЕКС» есть Служба поддержки, с которой можно связаться через личный кабинет по номеру телефону или по почте, как удобно Вам. Все обращения менеджеры обрабатывают в срок и решают все проблемы эффективно.;5;yandex;Кардекс;pos
Вероника Виноградова;25.08.2023;Картой от Кардекс заправляюсь на любой встречной бензаколонке. На некоторых у меня даже скидка за топливо 30%;5;yandex;Кардекс;neu
Эльдар;28.08.2022;Пользуемся уже не первый месяц. Удобно. Что ещё радует, грамотная и быстрая служба поддержки - вопросы решаются оперативно! 👍 Спасибо!;5;yandex;Кардекс;pos
Андрей Казутин;24.10.2023;Кардекс надёжный партнёр в сфере топливных карт. Работаем с ними уже несколько лет и всегда получаем качественное обслуживание и отличное условия;5;yandex;Кардекс;pos
Олег Новиков;25.10.2023;Я использовал многие топливные карты в прошлом, но топливная карта КАРДЕКС все-таки является лидером.;5;yandex;Кардекс;neu
Майя Гришанина;04.01.2024;Думала карту Кардекс на Азс принимают. Оказывается на автомойках и прочих авто услугах тоже;5;yandex;Кардекс;neu
дима ярыгин;28.10.2023;Мы оцениваем высокий уровень обслуживания и гибкие условия сотрудничества.;5;yandex;Кардекс;pos
М;11.10.2022;Работает все быстро: обработка заявки на оформление, служба поддержки, доставка, личный кабинет. Довольны работой компании и рады быть их клиентами. Советуем приобрести у них топливные карты.;5;yandex;Кардекс;pos
Vladimir Pastushenko;16.09.2022;Компания работает очень быстро. Только совершил оплату, сразу на следующий день мне прислали карточки. Потом отправил скан акта приема передачи вечером, наутро ещё не было 9 утра, мне уже пришли переводы. Ребята молодцы, очень классно работает автоматизация. Вот бы мне так!;5;yandex;Кардекс;pos
Максим Олейников;23.09.2023;Помимо удобной карты и скидок мне помогли вернуть 20 Ндс. Юр.лица явно в минус не уйдут. Так что я советую;5;yandex;Кардекс;pos
Максим Зубов;26.10.2023;Большое спасибо компании за такую услугу , советую друзьям многие уже рады .;5;yandex;Кардекс;pos
С;13.11.2022;Выполняют работу на пять с плюсом. За балансом легко следить в личном кабинете – всегда видишь, сколько осталось и на сколько езе хватит, а также его можно быстро и легко пополнить;5;yandex;Кардекс;pos
Евгений Комаров;09.02.2022;Очень доволен что начал пользоваться картой кардекс! Приятные условия, скидки, акции и широкая сеть заправок. Проблем никаких пока не было и думаю не будет. В общем однозначно рекомендую!;5;yandex;Кардекс;pos
Артем Г.;21.10.2022;Удобный личный кабинет. Для нас важна выписка счета на необходимую сумму и получать бухгалтерскую отчётность, которую они готовят ежемесячно по окончанию отчëтного периода. Доставляют быстро.!;5;yandex;Кардекс;pos
Елена Смирнова;02.06.2022;Работали по талонам, как в старые добрые времена. Все водители к этому привыкли. Но новый руководитель решил оптимизировать работу и заключил договор с Кардекс. Теперь весь автопарк заправляется по топливным картам и положительно отзывается о нововведении.;5;yandex;Кардекс;pos
Сергей Вобликов;26.07.2022;"""Кардекс"" мне посоветовал мой хороший приятель, который пользуется услугами уже немаленькое время. А это лучшая реклама. Если в трёх словах - выгодно, удобно и просто. Оформили без волокиты, на все вопросы ответили чётко, при использовании на практике тоже пару моментов уточнил у назначенного… ещё";5;yandex;Кардекс;pos
Eveleot Evelot;20.05.2022;Спасибо сотрудникам компании Кардекс. Работают оперативно, всегда отвечают на вопросы и рады помочь. Вы большие молодцы!;5;yandex;Кардекс;pos
Андрей К.;20.10.2022;Продолжаем пользоваться услугами кардекса уже долгое время. Все полностью устраивает: условия, сеть АЗС, уведомления и личный кабинет, все бумаги своевременно предоставляют.;5;yandex;Кардекс;pos
stavor2006;11.09.2022;Давно знакомы с компанией «КАРДЕКС». Персонал, который работает в компании на своем месте, всегда вежливые, подскажут помогут. Работают быстро и делают все в срок. Рекомендую!;5;yandex;Кардекс;pos
Юлия :);25.11.2021;Год уже сотрудничаем с компанией Кардекс, нареканий вообще никаких. До этого работали с другой компанией, были проблемы, не буду описывать. С Кардекс всё наладилось, без карты вообще ездить не могу, а если у моего водителя есть какие-то вопросы, то можно позвонить на прямую линию, и вопрос сразу разрешится. Рекомендую однозначно.;5;yandex;Кардекс;pos
Марина Владимировна;20.06.2022;Ну условия, а сказка! Узнал о топливных карт кардекс совершенно случайно, но вот после того как мы взвесили за и против, а также пообщались с поддержкой то все же решили сделать, так как мы очень хорошо сэкономим на заправке наших машин, также максимальное упрощение в работе с бухгалтерией. Рекомендую!;5;yandex;Кардекс;pos
Эльиза Алиаскар кызы;10.04.2022;Мне было важно при выборе карты, чтобы она работала на многих азс, чтобы я не ездила в поисках подходящей. Нашла такую здесь, сколько катаюсь по командировкам, ни разу не возникало проблем с тем.;5;yandex;Кардекс;neu
Дима Ядовитый;12.02.2022;Оставил заявку на Кардекс, со мной очень быстро связался менеджер, очень приятный мужчина, всë объяснил, быстро сделали карту. Пользуюсь несколько месяцев, если возникают вопросы всегда могу позвонить закреплëнному за мной менеджеру и решить их. Доволен;5;yandex;Кардекс;pos
Полина Б.;10.05.2022;Гениальные люди придумали очень удобный сервис. Кто работает с автопарком, тот поймёт, как тяжело считать эти расходы и собирать по ним документы. А тут тебе раз в месяц присылают документацию и ещё напоминают, что баланс на нуле.;5;yandex;Кардекс;neu
В;24.08.2023;Ну как бы карта не только для бензина. Для автомоек и других услуг тоже действует;5;yandex;Кардекс;neu
Александр;01.09.2021;Сначала показался прекрасным сервис, быстрая доставка карт, и пр. Однако все эти услуги были включены в ежемесячный акт, также взимают доп. комиссию 1000 руб вне зависимости от использования. Про карту за 190 рублей, которую нужно вернуть, уж и не говорю. Работает не на всех заявленных АЗС в регионах. Для небольших организаций или ИП - очень не выгодно.;1;yandex;Кардекс;neu
Миа;03.01.2024;Оставила заявку в 2 часа дня. Через сутки после подписания договора мне привезли пластиковую карту Кардекс. Пока мне с ней выгодно.;5;yandex;Кардекс;pos
Ольга;14.06.2022;Хорошая компания, работой довольна. По запросу можно всегда получить отчётность по бухгалтерии за любой период.;5;yandex;Кардекс;pos
Екатерина Мошкова;07.11.2021;За год работы с КАРДЕКС мы ни разу не столкнулись с трудностями, поскольку любой проблемный вопрос решается быстро закреплённым менеджером, либо его заменяющим сотрудником. Все специалисты компании настоящие профи. Впечатление от сотрудничества самое приятное!;5;yandex;Кардекс;pos
Евгений Сычев;15.09.2023;В конце месяца предоставляют отчетность. В 3-ых числах возвращают 20 от НДС;5;yandex;Кардекс;neu
Алексей Царенко;26.08.2023;Скрытые комиссии , не работает на Роснефть и многих других. Не рекомендую.;1;yandex;Кардекс;neg
Настя Лащ;12.06.2020;Круто что с картами Кардекс можно ещё и на автомойку заскочить и по этой карте машину помыть. Вообще отличная фирма, самое главное, что работают с большим количеством АЗС. Можно спокойно топливо залить в любой части страны в дороге.;5;yandex;Кардекс;pos
Кирилл Петров;14.02.2023;Чувствуешь себя ущербным когда куда бы ты не приехал требуешь заправить по карте, а тебе извините купите другую карту или за наличные.;1;yandex;Кардекс;neu
Дмитрий Пчелин;27.06.2020;В последние 4 месяца пользуюсь универсальными картами Кардекс, до этого работал с другой компанией, но были проблемы с обслуживанием то одно виснет то другое. У Кардекса таких проблем за эти месяцы ни разу не было, а еще у них однозначно, сеть заправок шире, чем у многих их коллег. Что касается… ещё;5;yandex;Кардекс;neu
Дарья Г.;26.11.2021;Около года работаем с картами Кардекс. Уровень обслуживания на высоте. Большой плюс, огромная сеть заправок. Удобный личный кабинет.;5;yandex;Кардекс;pos
Нурсултан Калмурзаев;15.01.2022;Оформил здесь топливную карту онлайн, на мою заявку ответили очень быстро, объяснили правила использования карты. Порадовало, что карту оформили очень быстро, в этот же день.;5;yandex;Кардекс;pos
Алекс Фим;24.05.2022;Широкая сеть АЗС, привлекательные условия, удобный личный кабинет. Также понравились уведомления об остатке.;5;yandex;Кардекс;pos
Анастасия Билина;21.11.2022;Условия радуют, пользоваться картой удобно. Рекомендую.;5;yandex;Кардекс;pos
Д;24.08.2020;В универсалку Кардекс входит реально дофига АЗС разных брендов. Короче каждый свое найдет. Мои водители предпочитают Роснефть. Очень удобно что можно на сайте у них посмотреть расположение заправок и проложить оптимальный маршрут, чтоб по дороге потом неожиданностей не случалось. Короче удобная опция - эти карты.;5;yandex;Кардекс;pos
Анна Артёмова;14.05.2022;Большой выбор заправок, все указаны на карте. Карта онлайн, едешь и сразу видно где можно заправиться. Еще удобно и мойка по этой же карте идет.;5;yandex;Кардекс;pos
А;23.07.2022;Я отправила заявку на сайте, перезвонил менеджер. Все рассказала и ответила на вопросы. В общем, сервис и качество на высоком уровне.;5;yandex;Кардекс;pos
Валерия Д;28.06.2022;Спасибо за качество. В личном кабинете удобная функция- напоминание об окончании денежного баланса. Услугами доволен.;5;yandex;Кардекс;pos
А;14.09.2019;"Моя фирма уже многие топливные карты перепробовала, но точно заявляю, что Кардекс лучше всех. Очень приличные заправки, кстати их очень много, есть даже в некоторых странах ближнего зарубежья. На заправках есть мойки, что тоже удобно. По маршрутам моих водил за глаза хватает заправок. Доволен, что есть ""мой… ещё";5;yandex;Кардекс;pos
Дарья Л.;26.10.2021;Наша транспортная компания впервые начала работать с Кардекс в 2017 году. Сотрудничали почти год, но в связи с финансовыми трудностями ликвидировались. Спустя полтора года удалось возродить бизнес. Снова обратились в Кардекс, отмечу, что у них стали более выгодные условия, также расширилась сеть АЗС. За… ещё;5;yandex;Кардекс;pos
А;29.08.2020;Короче, что касается топливных карт - это реальная вещь. Всегда можно проконтролировать расход топлива и все с водилами сразу по горячему прояснить. Пробовал разные карты, сейчас сижу на универсалке Кардекс. Очень крутая сеть АЗС по всей России. Удобно с отчетностью - все видно в личном кабинете.Доки по… ещё;5;yandex;Кардекс;neu
А;26.05.2020;С компанией Кардекс сотрудничаем не первый год. Что хотелось бы сказать их топливные карты для нас просто находкой стали в свое время, ведь мы сократили расходы на гсм, навели порядок в своем штате водителей, с некоторыми распрощались. Компанию хотим поблагодарить за обслуживание, внимательное… ещё;5;yandex;Кардекс;pos
